A recently deployed Lambda function has an intermittent issue in processing customer data. You enabled the active tracing option in order to detect, analyze, and optimize performance issues of your function using the X-Ray service. Which of the following environment variables are used by AWS Lambda to facilitate communication with X-Ray? (Select TWO.)|_X_AMZN_TRACE_ID|true|AWS_XRAY_CONTEXT_MISSING|true|AUTO_INSTRUMENT|false|AWS_XRAY_DEBUG_MODE|false|AWS_XRAY_TRACING_NAME|false
An application, which already uses X-Ray, generates thousands of trace data every hour. The developer wants to use a filter expression that will limit the results based on custom attributes or keys that he specifies. How should the developer refactor the application in order to filter the results in the X-Ray console?|Set up a custom CloudWatch Event with a unique metric name for each application.|false|Set up a custom CloudWatch Alarm with a unique metric name for each application|false|Set up a custom CloudWatch dimension with a unique metric name for each application.|false|Set up a custom CloudWatch namespace with a unique metric name for each application.|true
A company has 5 different applications running on several On-Demand EC2 instances. The DevOps team is required to set up a graphical representation of the key performance metrics for each application. These system metrics must be available on a single shared screen for more effective and visible monitoring. Which of the following should the DevOps team do to satisfy this requirement using Amazon CloudWatch|Set up a custom CloudWatch Event with a unique metric name for each application|FALSE|Set up a custom CloudWatch Alarm with a unique metric name for each application|FALSE|Set up a custom CloudWatch dimension with a unique metric name for each application|FALSE|Set up a custom CloudWatch namespace with a unique metric name for each application|TRUE
A developer is planning to use the AWS Elastic Beanstalk console to run the AWS X-Ray daemon on the EC2 instances in her application environment. She will use X-Ray to construct a service map to help identify issues with her application and to provide insight on which application component to optimize. The environment is using a default Elastic Beanstalk instance profile. Which IAM managed policy does Elastic Beanstalk use for the X-Ray daemon to upload data to X-Ray|AWSXrayFullAccess|FALSE|AWSXRayDaemonWriteAccess|TRUE|AWSXRayElasticBeanstalkWriteAccess|FALSE|AWSXrayReadOnlyAccess|FALSE
A company has an application hosted in an ECS Cluster that heavily uses an RDS database. A developer needs to closely monitor how the different processes on a DB instance use the CPU, such as the percentage of the CPU bandwidth or the total memory consumed by each process to ensure application performance. Which of the following is the MOST suitable solution that the developer should implement|Track the CPU% and MEM% metrics which are readily available in the Amazon RDS console|FALSE|Use Enhanced Monitoring in RDS|TRUE|Develop a shell script that collects and publishes custom metrics to CloudWatch which tracks the real-time CPU Utilization of the RDS instance|FALSE|Use CloudWatch to track the CPU Utilization of your database|FALSE
A new IT policy requires you to trace all calls that your Node.js application sends to external HTTP web APIs as well as SQL database queries. You have to instrument your application, which is hosted in Elastic Beanstalk, in order to properly trace the calls via the X-Ray console. What should you do to comply with the given requirement|Create a Docker image that runs the X-Ray daemon|FALSE|Use a user data script to run the daemon automatically|FALSE|Enable the X-Ray daemon by including the xray-daemon.config configuration file in the .ebextensions directory of your source code|TRUE|Enable active tracing in the Elastic Beanstalk by including the healthcheckurl.config configuration file in the .ebextensions directory of your source code|FALSE
A serverless application which uses a Lambda function integrated with API Gateway provides data to a front-end application written in ReactJS. The users are complaining that they are getting HTTP 504 errors intermittently when they are using the application in peak times. The developer found no errors in the CloudWatch logs of the Lambda function. Which of the following is the MOST likely cause of this issue|The API Gateway automatically enabled throttling in peak times which caused the HTTP 504 errors|FALSE|The underlying Lambda function has been running for more than 29 seconds causing the API Gateway request to time out|TRUE|There is an authorization failure occurring between API Gateway and the Lambda function|FALSE|The memory allocated for the Lambda function is insufficient|FALSE
A developer is refactoring a Lambda function that currently processes data using a public GraphQL API. There’s a new requirement to store query results in a database hosted in a VPC. The function has been configured with additional VPC-specific information, and the database connection has been successfully established. However, the engineer has discovered that the function can no longer connect to the internet after testing. Which of the following should the developer do to fix this issue? (Select TWO)|Ensure that the associated security group of the Lambda function allows outbound connections|TRUE|Submit a limit increase request to AWS to raise the concurrent executions limit of your Lambda function|FALSE|Configure your function to forward payloads that were not processed to a dead-letter queue (DLQ) using Amazon SQS|FALSE|Add a NAT gateway to your VPC|TRUE|Set up elastic network interfaces (ENIs) to enable your Lambda function to connect securely to other resources within your private VPC|FALSE
A leading commercial bank has an online banking portal that is hosted in an Auto Scaling group of EC2 instances with an Application Load Balancer in front to distribute the incoming traffic. The application has been instrumented, and the X-Ray daemon has been installed in all instances to allow debugging and troubleshooting using AWS X-Ray. In this architecture, from which source will AWS X-Ray fetch the client IP address|From the ipAddress query parameter of the request if it exists|FALSE|From the X-Forwarded-Host header of the request|FALSE|From the X-Forwarded-For header of the request|TRUE|From the source IP of the IP packet|FALSE
An online stock trading platform is hosted in an Auto Scaling group of EC2 instances with an Application Load Balancer in front to distribute the incoming traffic evenly. The developer must capture information about the IP traffic going to and from network interfaces in your VPC to comply with financial regulatory requirements. Which of the following options should the developer do to meet the requirement|Create a flow log in your VPC|TRUE|Use AWS Inspector to capture information about the IP traffic going to and from the network interfaces of your EC2 instances|FALSE|Install and run the AWS X-Ray daemon to your EC2 instances using an instance metadata script|FALSE|Use CloudTrail logs to track all API calls and capture information about the IP traffic going to and from your VPC|FALSE
A clickstream application uses Amazon Kinesis Data Stream for real-time processing. PutRecord API calls are being used by the producer to send data to the stream. However, there are cases where the producer intermittently restarted while doing the processing, which resulted in sending the same data twice to the stream. This inadvertently causes duplication of entries in the data stream, which affects the processing of the consumers. Which of the following should you implement to resolve this issue|Add more shards|FALSE|Split shards of the data stream|FALSE|Merge shards of the data stream|FALSE|Embed a primary key within the record|TRUE
